"Month","ForecastRevenue","Lower80","Upper80","Lower95","Upper95"
2012-01-01,518192.79,223585.542019642,812800.037980358,67629.8855096255,968755.694490375
2012-02-01,518192.79,101555.224332764,934830.355667236,-118999.380232501,1155384.9602325
2012-03-01,518192.79,7918.06821997673,1028467.51178002,-262205.052583132,1298590.63258313
2012-04-01,518192.79,-71021.7059607157,1107407.28596072,-382933.018980749,1419318.59898075
2012-05-01,518192.79,-140569.043148218,1176954.62314822,-489296.492580223,1525682.07258022
2012-06-01,518192.79,-203444.642077467,1239830.22207747,-585456.423027769,1621842.00302777
